id,employee_id/id,job_id/id,wage,date_start,trial_date_start,trial_date_end,schedule_template_id/id,struct_id/id,pps_id/id,policy_group_id/id
contract_363,l31_plant_64,braam_flowers.job_worker_planting31,600,2011-12-16,,,braam_flowers.sched_template_2,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_364,l31_plant_65,braam_flowers.job_worker_planting31,600,2012-01-18,,,braam_flowers.sched_template_3,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_365,l31_plant_66,braam_flowers.job_worker_planting31,600,2012-01-18,,,braam_flowers.sched_template_3,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_366,l31_plant_67,braam_flowers.job_worker_planting31,600,2012-02-04,,,braam_flowers.sched_template_1,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_367,l31_plant_68,braam_flowers.job_worker_planting31,600,2012-02-04,,,braam_flowers.sched_template_2,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_368,l31_plant_69,braam_flowers.job_worker_planting31,600,2012-02-04,,,braam_flowers.sched_template_3,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_369,l31_plant_71,braam_flowers.job_worker_planting31,600,2012-02-24,,,braam_flowers.sched_template_3,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_370,l31_plant_72,braam_flowers.job_worker_planting31,600,2012-02-24,,,braam_flowers.sched_template_4,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_371,l31_plant_73,braam_flowers.job_worker_planting31,600,2012-03-23,,,braam_flowers.sched_template_5,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_372,l31_plant_74,braam_flowers.job_worker_planting31,600,2012-03-23,,,braam_flowers.sched_template_4,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_373,l31_plant_75,braam_flowers.job_worker_planting31,600,2012-03-23,,,braam_flowers.sched_template_6,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_374,l31_plant_76,braam_flowers.job_worker_planting31,600,2012-03-23,,,braam_flowers.sched_template_4,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_375,l31_plant_77,braam_flowers.job_worker_planting31,600,2012-03-23,,,braam_flowers.sched_template_1,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_376,l31_plant_78,braam_flowers.job_worker_planting31,600,2012-03-23,,,braam_flowers.sched_template_1,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_377,l31_plant_79,braam_flowers.job_worker_planting31,600,2012-04-02,,,braam_flowers.sched_template_4,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_378,l31_plant_80,braam_flowers.job_worker_planting31,600,2012-04-02,,,braam_flowers.sched_template_2,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_379,l31_plant_81,braam_flowers.job_worker_planting31,600,2012-04-02,,,braam_flowers.sched_template_6,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_380,l31_plant_82,braam_flowers.job_worker_planting31,600,2012-04-02,,,braam_flowers.sched_template_5,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_381,l31_plant_83,braam_flowers.job_worker_planting31,600,2012-04-24,,,braam_flowers.sched_template_6,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_382,l31_plant_84,braam_flowers.job_worker_planting31,600,2012-05-17,,,braam_flowers.sched_template_4,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_383,l31_plant_85,braam_flowers.job_worker_planting31,600,2012-06-08,,,braam_flowers.sched_template_1,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_384,l31_plant_86,braam_flowers.job_worker_planting31,600,2012-07-07,,,braam_flowers.sched_template_3,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_385,l31_plant_87,braam_flowers.job_worker_planting31,600,2012-07-07,,,braam_flowers.sched_template_4,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_386,l31_plant_88,braam_flowers.job_worker_planting31,600,2012-07-07,,,braam_flowers.sched_template_1,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_387,l31_plant_89,braam_flowers.job_worker_planting31,600,2012-07-16,,,braam_flowers.sched_template_3,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_388,l31_plant_90,braam_flowers.job_worker_planting31,600,2012-07-16,,,braam_flowers.sched_template_2,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_389,l31_plant_91,braam_flowers.job_worker_planting31,600,2012-07-16,,,braam_flowers.sched_template_3,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_390,l31_plant_92,braam_flowers.job_worker_planting31,600,2012-07-21,,,braam_flowers.sched_template_6,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_391,l31_plant_93,braam_flowers.job_worker_planting31,600,2012-09-19,,,braam_flowers.sched_template_5,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_392,l31_plant_94,braam_flowers.job_worker_planting31,600,2012-10-05,,,braam_flowers.sched_template_4,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_393,l31_plant_95,braam_flowers.job_worker_planting31,600,2012-10-18,,,braam_flowers.sched_template_6,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_394,l31_plant_96,braam_flowers.job_worker_planting31,600,2012-10-18,,,braam_flowers.sched_template_4,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_395,l31_plant_97,braam_flowers.job_worker_planting31,600,2012-10-18,,,braam_flowers.sched_template_5,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_396,l31_plant_98,braam_flowers.job_worker_planting31,600,2012-10-30,,,braam_flowers.sched_template_5,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_397,l31_plant_99,braam_flowers.job_worker_planting31,600,2012-11-17,,,braam_flowers.sched_template_3,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_398,l31_plant_100,braam_flowers.job_worker_planting31,600,2012-11-17,,,braam_flowers.sched_template_4,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_399,l31_plant_101,braam_flowers.job_worker_planting31,600,2012-11-17,,,braam_flowers.sched_template_4,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_400,l31_plant_102,braam_flowers.job_worker_planting31,600,2012-11-18,,,braam_flowers.sched_template_1,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_401,l31_plant_103,braam_flowers.job_worker_planting31,600,2012-11-21,,,braam_flowers.sched_template_1,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_402,l31_plant_104,braam_flowers.job_worker_planting31,600,2012-11-21,,,braam_flowers.sched_template_6,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_403,l31_plant_105,braam_flowers.job_worker_planting31,600,2012-11-28,,,braam_flowers.sched_template_3,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
contract_404,l31_plant_106,braam_flowers.job_worker_planting31,600,2012-11-28,,,braam_flowers.sched_template_3,braam_flowers.structure_001,braam_flowers.pps_manual,braam_flowers.standard_policy_group
